indicator,type,domain,approach,primary_role,question,core_indicator_extended_science_indicator,primary_role_original,tier1,tier2,tier3,tier4,role_rangers,role_scientists,has_T1,has_T2,has_T3,has_T4
Trophic interaction strength,Process,Functional Viability,Diet analysis and food-web modelling,Scientists,Are trophic relationships stabilising or degrading?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Carrying capacity utilisation,Outcome,Functional Viability,Biomass estimates and population models,Scientists,Are populations exceeding ecological carrying capacity?,Extended,Scientists,T2,T3,NA,NA,FALSE,TRUE,NA,1,1,NA
Carbon sequestration and nutrient cycling,Outcome,Functional Viability,Biomass surveys and soil carbon models,Scientists,Are restoration and rewilding actions delivering climate and productivity benefits?,Extended,Scientists,T1,T2,NA,NA,FALSE,TRUE,1,1,NA,NA
Vegetation succession and productivity trajectories,Outcome,Functional Viability,Time-series vegetation modelling,Scientists,Is vegetation developing toward reference or target states?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Microclimate buffering,Outcome,Functional Viability,Microclimate sensor networks,Scientists,Is the ecosystem becoming more resilient to heat and drought extremes?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Climate stress response of key natural values,Process,Functional Viability,Trend analysis and climate overlays,Scientists,Which species or habitats are most vulnerable to climate stress?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Ecological thresholds and tipping-point proximity,Outcome,Functional Viability,System dynamics modelling,Scientists,How close is the system to irreversible ecological change?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Causal attribution of ecological change,Process,Functional Viability,Integrated multi-indicator analysis,Scientists,Why are observed ecological changes occurring?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Predicted future ecosystem trajectories,Outcome,Functional Viability,Scenario and forecast modelling,Scientists,What are likely future system states under different management scenarios?,Extended,Scientists,T1,T2,NA,NA,FALSE,TRUE,1,1,NA,NA
Social perception of wildlife,Outcome,Socio-Ecological Integration,Structured surveys and interviews,Managers,Is social licence for wildlife conservation stable?,Extended,Managers,T3,NA,NA,NA,FALSE,FALSE,NA,NA,1,NA
Effectiveness of adaptive management responses,Outcome,System Capacity,Before/after control-impact analysis,Scientists (with Managers),Are management adjustments delivering improved ecological outcomes?,Extended,Scientists (with Managers),T3,NA,NA,NA,FALSE,FALSE,NA,NA,1,NA
Disease prevalence in rewilded species,Process,System Capacity,Veterinary surveillance and diagnostics,Scientists,Are disease risks manageable and within acceptable limits?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Genetic diversity of key populations,Outcome,System Capacity,Genetic sampling & laboratory analysis,Scientists,Is long-term population viability at risk due to low genetic diversity?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
